datetime,grid_price,renewable_energy,optimal_score,hour,predicted_optimal_score
06/08/2024 00:00,0.6486108334999008,0.005512089896713914,0.12080444876450902,0.0,0.12435918470188632
06/08/2024 01:00,0.5506695982410563,0.0,0.14977680058631454,0.0,0.14903445167801355
06/08/2024 02:00,0.3535878472916263,0.0,0.2154707175694579,0.0,0.21693409088144755
06/08/2024 03:00,0.564661203278034,0.0,0.1451129322406553,0.0,0.14584593576838212
06/08/2024 04:00,0.555266839896063,0.0,0.14824438670131235,0.0,0.1483755137074627
06/08/2024 05:00,0.6198281031381181,0.0,0.1267239656206273,0.0,0.1292276856793725
06/08/2024 06:00,0.7471517089746142,0.0,0.08428276367512857,0.0,0.08636387845563373
06/08/2024 07:00,0.9532280631621011,0.007506286346397289,0.020594836510231168,0.002919111356932279,0.024582263290608624
06/08/2024 08:00,0.7593443933639805,0.031530293188841846,0.10123873100456772,0.014013463639485264,0.10512754649170182
06/08/2024 09:00,0.564661203278034,0.13628342648679362,0.2359685498985177,0.06814171324339681,0.22578683062143187
06/08/2024 10:00,0.40815510693583956,0.22973005971594163,0.3504350041653479,0.1276278109533009,0.3496510905585763
06/08/2024 11:00,0.15370777533480062,0.2982541469789125,0.4809335062076748,0.18226642315377986,0.484903060452009
06/08/2024 12:00,0.029382370577655248,0.38346364573343306,0.5791816402964036,0.25564243048895535,0.5742827677018344
06/08/2024 13:00,0.021786927843293835,0.4765975298324812,0.6438027106072228,0.3442093271012364,0.6304449736555058
06/08/2024 14:00,0.017389566260245903,0.7486175202232487,0.8266151580620837,0.5822580712847489,0.8277056775725576
06/08/2024 15:00,0.002598440935438706,0.8193862708346397,0.8787247002446135,0.6828218923621997,0.8514441692593757
06/08/2024 16:00,0.0,1.0,1.0,0.8888888888888888,0.9942064780165153
06/08/2024 17:00,0.017389566260245903,0.6482144952198993,0.7596798080598509,0.6122025788187938,0.7599753714959673
06/08/2024 18:00,0.16170297821307367,0.3402463981628836,0.5062632727042311,0.3402463981628836,0.5038897253914733
06/08/2024 19:00,0.6198281031381181,0.16138951450484998,0.23431697529052725,0.1703555986440083,0.241818753552447
06/08/2024 20:00,0.8175094943034185,0.06042458295144631,0.10111322386649138,0.06713842550160701,0.09529570154365637
06/08/2024 21:00,1.0000000000000004,0.01841240653045544,0.012274937686970144,0.02148114095219801,0.013364128056331765
06/08/2024 22:00,0.8752748350989394,0.011726350933180802,0.049392622255807386,0.014332206696109868,0.04790886793842304
06/08/2024 23:00,0.710573655806515,0.005512089896713914,0.10015017466230428,0.007043225979134445,0.10110209535354224
07/08/2024 00:00,0.5621086649161793,0.0,0.14596377836127356,0.0,0.1460788939684061
07/08/2024 01:00,0.5621086649161793,0.0,0.14596377836127356,0.0,0.1460788939684061
07/08/2024 02:00,0.5619066855180761,0.0,0.14603110482730797,0.0,0.146111883936763
07/08/2024 03:00,0.5619066855180761,0.0,0.14603110482730797,0.0,0.146111883936763
07/08/2024 04:00,0.3152898404362765,0.011060526012576018,0.2356104038629585,0.002457894669461337,0.23270494191165383
07/08/2024 05:00,0.4655625126237113,0.01546152542834397,0.18845351274432554,0.004294868174539991,0.19126301141342833
07/08/2024 06:00,0.5172692385376703,0.01546152542834397,0.17121793743967254,0.00515384180944799,0.1636774223880191
07/08/2024 07:00,0.7212684306200772,0.02871351054084038,0.11205286348720118,0.011166365210326814,0.11227462463659103
07/08/2024 08:00,0.4655625126237113,0.09288456873463576,0.24006887494852006,0.041282030548727,0.23587962522779626
07/08/2024 09:00,0.17329832357099528,0.3230119429533064,0.49090852077853914,0.16150597147665316,0.48898954123029653
07/08/2024 10:00,0.0,0.5004219696271888,0.6669479797514591,0.2780122053484382,0.6555354435222647
07/08/2024 11:00,0.004241567360129039,0.5999816942920919,0.7319072737413516,0.3666554798451673,0.7263150377041587
07/08/2024 12:00,0.0345384770753383,0.6549156683838033,0.758430953230756,0.4366104455892022,0.7586923957073206
07/08/2024 13:00,0.052716622904465105,0.6817658073995828,0.7702716639649001,0.4923864164552542,0.7683124326787657
07/08/2024 14:00,0.06261361341143168,0.6733578360895787,0.7613673529225752,0.5237227614030056,0.7610611216007822
07/08/2024 15:00,0.004241567360129039,0.6245965538775828,0.7483171801316788,0.520497128231319,0.7460962378861276
07/08/2024 16:00,0.004241567360129039,0.6200562638364303,0.7452903201042439,0.5511611234101602,0.7447861775960283
07/08/2024 17:00,0.052716622904465105,0.9999999999999999,0.9824277923651783,0.9444444444444442,0.9826243300285895
07/08/2024 18:00,0.0977580286810742,0.8423082864862512,0.8622861814304761,0.8423082864862511,0.8780140855921291
07/08/2024 19:00,0.19410220157543856,0.3461056567202718,0.499369703955035,0.3653337487602869,0.5050346134547976
07/08/2024 20:00,0.7434861644112285,0.0963992858657515,0.1497708024400915,0.10711031762861278,0.14466560103435713
07/08/2024 21:00,1.0,0.026830773919078073,0.017887182612718714,0.03130256957225775,0.019501035713792844
07/08/2024 22:00,0.8691173500302951,0.011060526012576018,0.051001233998285635,0.013518420682037355,0.050757948454622816
07/08/2024 23:00,0.7309634417289441,0.0,0.08967885275701862,0.0,0.09162184890053092
08/08/2024 00:00,0.4438889846578178,0.0,0.18537033844739406,0.0,0.18846395437526745
08/08/2024 01:00,0.37562489225995543,0.0,0.2081250359133482,0.0,0.21129064353033264
08/08/2024 02:00,0.2823651094638846,0.0,0.23921163017870511,0.0,0.26274987698777635
08/08/2024 03:00,0.3414928460610227,0.0,0.21950238464632577,0.0,0.21948304751562706
